Comment,Designator,Footprint,LCSC,Quantity
330 Ohm,R4,R_0402_1005Metric,C105875,1
1uF,C55,C_0402_1005Metric,C106254,1
Alps SKRK,"SW1,SW2",SW_Push_SPST_NO_Alps_SKRK,C115351,2
1k OHM 100mhz,FB1,Fuse_0402_1005Metric,C1236503,1
33 Ohm,"R1,R2",R_0402_1005Metric,C137880,2
10nF,C54,C_0402_1005Metric,C1524,1
JST SH,J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,1
10k,"R3,R5,R6",R_0402_1005Metric,C25744,3
5.1k,"R7,R8",R_0402_1005Metric,C25905,2
PRTR5V0U2X,U55,SOT-143,C2827688,1
STM32G0B1CBTx,U53,LQFP-48_7x7mm_P0.5mm,C2847904,1
AP40P05,Q1,SOT-23,C2886385,1
SLSS49E-3,"U1,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U2,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U3,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U4,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U5,U50,U51,U52,U6,U7,U8,U9",SOT-23,C2904393,52
SMF9.0CA,D_PWR1,D_SOD-123,C2980405,1
USB_C sink board 1.3mm,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C3019717,1
AP2112K-3.3,U54,SOT-23-5,C3021085,1
100nF,"C1,C10,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C11,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C12,C120,C121,C122,C123,C124,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53,C56,C6,C61,C62,C63,C64,C65,C66,C67,C68,C69,C7,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C8,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C9,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99",C_0402_1005Metric,C307331,118
YS-SK6803MINI-E,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D6,D7,D8,D9",SK6803-MINI-E,C5242955,55
10uF,"C57,C58,C59,C60",C_0402_1005Metric,C52923,4
74HC4051,"U57,U58,U59,U60,U61,U62,U63",TSSOP16,C5645,7
500mA,F1,Fuse_1206_3216Metric,C70076,1
74AHCT1G125,U56,TSOT-23-5,C7468,1
